time,numworkers,streamsize
15252478,16,5000
15257543,16,5000
15262643,16,5000
15267747,16,5000
15272848,16,5000
15277948,16,5000
15283019,16,5000
15288121,16,5000
15293224,16,5000
15298327,16,5000
15303432,16,5000
15308538,16,5000
15313640,16,5000
15318744,16,5000
15323807,16,5000
15328911,16,5000
15333974,16,5000
15338994,16,5000
15344094,16,5000
15349196,16,5000
15354298,16,5000
15359402,16,5000
15364525,16,5000
15369647,16,5000
15374752,16,5000
15379854,16,5000
15384957,16,5000
15390020,16,5000
15395092,16,5000
15400196,16,5000
15405295,16,5000
15410396,16,5000
15415493,16,5000
15420600,16,5000
15425666,16,5000
15430770,16,5000
15435872,16,5000
15440976,16,5000
15446085,16,5000
15451187,16,5000
15456303,16,5000
15461405,16,5000
15466507,16,5000
15471612,16,5000
15476715,16,5000
15481831,16,5000
15486956,16,5000
15492018,16,5000
15497080,16,5000
